from_regime,to_NORMAL_GROWTH,to_STAGNATION,to_CRISIS,to_RECOVERY
NORMAL_GROWTH,0.85,0.10,0.03,0.02
STAGNATION,0.25,0.55,0.15,0.05
CRISIS,0.10,0.25,0.55,0.10
RECOVERY,0.60,0.20,0.05,0.15
